id,Пол,Возраст,Вес,Проффесия,Высшее_образование
1196,Ж,18,56,Фотограф,Нет
1197,Ж,18,56,Фотограф,Нет
1198,Ж,54,77,Тренер по футболу,Да
1199,Ж,21,59,SMM-специалист,Нет
1200,М,70,71,Тренер по футболу,Да
1201,Ж,22,46,Блогер,Нет
1202,,54,99,Сантехник,Да
1203,Ж,22,54,Таргетолог,Нет
1204,М,64,80,Сварщик,Да
1205,М,58,98,Токарь,Да
1206,М,72,88,Сварщик,Да
1207,Ж,21,44,Таргетолог,Нет
1208,Ж,19,50,Копирайтер,Нет
1209,Ж,20,53,Data scientist,Да
1210,М,55,92,Токарь,Да
1211,Ж,78,77,Тренер по фитнесу,Да
1212,Ж,27,69,Backend-разработчик,Да
1213,Ж,27,69,Backend-разработчик,Да
1214,Ж,27,69,Backend-разработчик,Да
1215,Ж,25,76,Data scientist,Да
1216,Ж,25,76,Data scientist,Да
1217,М,46,74,Маляр,Да
1218,Ж,22,77,Data scientist,Да
1219,М,62,77,Тренер по киберспорту,Да
1220,М,24,67,Data scientist,Да
1221,Ж,27,70,Frontend-разработчик,Да
1222,Ж,25,50,SMM-специалист,Нет
1223,М,47,83,Тренер по легкой атлетике,Да
1224,М,20,54,Frontend-разработчик,Да
1225,М,25,42,Frontend-разработчик,Да
1226,М,56,85,Сантехник,Да
1227,М,80,95,Тренер по футболу,Да
1228,М,80,95,Тренер по футболу,Да
1229,Ж,50,75,Тренер по волейболу,Да
1230,Ж,20,50,SMM-специалист,Нет
1231,Ж,22,66,Тестировщик,Да
1232,Ж,23,51,Фотограф,Нет
1233,М,78,99,Сварщик,Да
1234,М,78,99,Сварщик,Да
1235,Ж,27,90,Frontend-разработчик,Да
1236,,45,75,Токарь,Да
1237,,45,75,Токарь,Да
1238,М,275,83,Тренер по волейболу,Да
1239,Ж,66,96,Тренер по волейболу,Да
1240,М,28,71,IOS-разработчик,Да
1241,Ж,74,75,Тренер по киберспорту,Да
1242,Ж,27,88,Data scientist,Да
1243,Ж,27,88,Data scientist,Да
1244,М,62,73,Маляр,Да
1245,Ж,64,95,Тренер по фитнесу,Да
1246,Ж,56,75,Тренер по киберспорту,Да
1247,М,48,98,Сантехник,Да
1248,Ж,25,82,Frontend-разработчик,Да
1249,М,285,78,Тренер по футболу,Да
1250,Ж,24,56,SMM-специалист,Нет
1251,Ж,25,51,Backend-разработчик,Да
1252,Ж,228,97,Тренер по футболу,Да
1253,М,45,82,Сварщик,Да
1254,,73,98,Токарь,Да
1255,Ж,20,60,IOS-разработчик,Да
1256,Ж,24,72,Тестировщик,Да
1257,М,29,65,,Да
1258,М,29,65,,Да
1259,Ж,19,49,SMM-специалист,Нет
1260,Ж,30,59,Frontend-разработчик,Да
1261,Ж,48,84,Тренер по фитнесу,Да
1262,М,76,93,Тренер по киберспорту,Да
1263,М,80,94,Тренер по фитнесу,Да
1264,М,75,80,Крановщик,Да
1265,Ж,18,47,Фотограф,Нет
1266,Ж,19,53,SMM-специалист,Нет
1267,Ж,19,47,Копирайтер,Нет
1268,Ж,26,58,,Да
1269,М,49,87,Сварщик,Да
1270,М,49,87,Сварщик,Да
1271,Ж,20,53,Блогер,Нет
1272,Ж,28,67,Backend-разработчик,Да
1273,Ж,28,67,Backend-разработчик,Да
1274,Ж,28,67,Backend-разработчик,Да
1275,Ж,28,67,Backend-разработчик,Да
1276,,53,89,Маляр,Да
1277,,53,89,Маляр,Да
1278,М,55,91,Тренер по фитнесу,Да
1279,М,25,78,Frontend-разработчик,Да
1280,М,25,78,Frontend-разработчик,Да
1281,Ж,25,41,Frontend-разработчик,Да
1282,М,67,84,Крановщик,Да
1283,М,45,83,Маляр,Да
1284,М,47,81,Сварщик,Да
1285,М,61,86,Токарь,Да
1286,Ж,22,68,Тестировщик,Да
1287,Ж,56,71,Тренер по футболу,Да
1288,М,76,73,Тренер по легкой атлетике,Да
1289,Ж,23,42,SMM-специалист,Нет
1290,М,72,73,Маляр,Да
1291,М,27,87,Data scientist,Да
1292,Ж,27,51,IOS-разработчик,Да
1293,Ж,27,51,IOS-разработчик,Да
1294,Ж,25,46,Копирайтер,Нет
1295,Ж,24,1934,Таргетолог,Нет
1296,М,53,78,Маляр,Да
1297,Ж,76,96,Тренер по киберспорту,Да
1298,Ж,76,96,Тренер по киберспорту,Да
1299,Ж,25,49,Таргетолог,Нет
1300,Ж,25,50,SMM-специалист,Нет
1301,Ж,25,50,SMM-специалист,Нет
1302,Ж,23,75,IOS-разработчик,Да
1303,Ж,23,75,IOS-разработчик,Да
1304,Ж,18,57,Фотограф,Нет
1305,М,20,59,Data scientist,Да
1306,М,20,59,Data scientist,Да
1307,Ж,24,42,SMM-специалист,Нет
1308,Ж,54,94,Тренер по легкой атлетике,Да
1309,Ж,23,70,Frontend-разработчик,Да
1310,М,50,89,Тренер по футболу,Да
1311,Ж,26,79,Frontend-разработчик,Да
1312,Ж,26,79,Frontend-разработчик,Да
1313,М,28,73,,Да
1314,М,28,73,,Да
1315,М,28,73,,Да
1316,М,28,73,,Да
1317,М,20,80,Frontend-разработчик,Да
1318,Ж,18,58,Копирайтер,Нет
1319,Ж,18,58,Копирайтер,Нет
1320,М,48,93,Тренер по легкой атлетике,Да
1321,М,48,93,Тренер по легкой атлетике,Да
1322,М,25,67,IOS-разработчик,Да
1323,Ж,46,77,Тренер по легкой атлетике,Да
1324,Ж,19,57,Блогер,Нет
1325,Ж,19,57,Блогер,Нет
1326,М,25,52,Data scientist,Да
1327,М,61,78,Тренер по волейболу,Да
1328,М,21,89,,Да
1329,М,67,85,Тренер по легкой атлетике,Да
1330,М,46,89,Тренер по легкой атлетике,Да
1331,Ж,19,1723,Блогер,Нет
1332,М,52,78,Крановщик,Да
1333,Ж,28,81,,Да
1334,Ж,20,54,Frontend-разработчик,Да
1335,М,49,85,Тренер по фитнесу,Да
1336,М,67,78,Крановщик,Да
1337,М,67,78,Крановщик,Да
1338,М,68,85,Сварщик,Да
1339,М,80,91,Маляр,Да
1340,Ж,225,79,Тренер по киберспорту,Да
1341,М,65,74,Тренер по футболу,Да
1342,Ж,24,73,Frontend-разработчик,Да
1343,М,26,51,Backend-разработчик,Да
1344,Ж,20,42,Копирайтер,Нет
1345,М,80,81,Сантехник,Да
1346,Ж,22,58,Копирайтер,Нет
1347,Ж,59,84,Тренер по волейболу,Да
1348,Ж,67,97,Тренер по киберспорту,Да
1349,Ж,76,75,Тренер по футболу,Да
1350,М,26,53,,Да
1351,Ж,62,88,Тренер по легкой атлетике,Да
1352,Ж,62,88,Тренер по легкой атлетике,Да
1353,Ж,25,41,SMM-специалист,Нет
1354,М,72,74,Сварщик,Да
1355,Ж,22,51,Frontend-разработчик,Да
1356,Ж,22,51,Frontend-разработчик,Да
1357,М,78,94,Тренер по легкой атлетике,Да
1358,М,78,94,Тренер по легкой атлетике,Да
1359,М,54,100,Крановщик,Да
1360,М,54,100,Крановщик,Да
1361,М,67,74,Тренер по киберспорту,Да
1362,М,67,74,Тренер по киберспорту,Да
1363,Ж,18,51,Фотограф,Нет
1364,Ж,25,90,Тестировщик,Да
1365,Ж,25,90,Тестировщик,Да
1366,М,46,76,Тренер по фитнесу,Да
1367,М,21,54,Data scientist,Да
1368,Ж,25,51,SMM-специалист,Нет
1369,М,24,82,Backend-разработчик,Да
1370,М,24,82,Backend-разработчик,Да
1371,М,23,72,Data scientist,Да
1372,Ж,19,51,Таргетолог,Нет
1373,Ж,20,49,Фотограф,Нет
1374,М,67,83,Токарь,Да
1375,М,27,72,Data scientist,Да
1376,М,47,78,Тренер по киберспорту,Да
1377,Ж,24,47,Тестировщик,Да
1378,М,261,94,Тренер по фитнесу,Да
1379,М,261,94,Тренер по фитнесу,Да
1380,М,80,77,Тренер по футболу,Да
1381,Ж,24,81,Data scientist,Да
1382,Ж,24,81,Data scientist,Да
1383,Ж,25,59,Копирайтер,Нет
1384,М,24,88,IOS-разработчик,Да
1385,Ж,24,46,Таргетолог,Нет
1386,М,66,95,Маляр,Да
1387,М,66,95,Маляр,Да
1388,М,58,76,Тренер по волейболу,Да
1389,Ж,23,60,SMM-специалист,Нет
1390,М,62,81,Маляр,Да
1391,М,62,81,Маляр,Да
1392,М,62,81,Маляр,Да
1393,М,48,94,Тренер по фитнесу,Да
1394,Ж,23,80,Frontend-разработчик,Да
1395,М,77,76,Тренер по киберспорту,Да
1396,Ж,21,1792,SMM-специалист,Нет
1397,Ж,19,58,SMM-специалист,Нет
1398,Ж,19,58,SMM-специалист,Нет
1399,М,65,82,Тренер по легкой атлетике,Да
1400,М,72,98,Тренер по киберспорту,Да
1401,М,72,98,Тренер по киберспорту,Да
1402,М,59,92,Токарь,Да
1403,М,59,92,Токарь,Да
1404,М,75,86,Тренер по легкой атлетике,Да
1405,М,75,86,Тренер по легкой атлетике,Да
1406,М,61,97,Тренер по футболу,Да
1407,Ж,24,44,Таргетолог,Нет
1408,Ж,21,42,Backend-разработчик,Да
1409,Ж,208,87,Тренер по киберспорту,Да
1410,М,49,88,Тренер по фитнесу,Да
1411,М,23,46,Backend-разработчик,Да
1412,М,23,46,Backend-разработчик,Да
1413,М,55,78,Сварщик,Да
1414,М,55,78,Сварщик,Да
1415,М,56,75,Тренер по киберспорту,Да
1416,М,54,97,Сварщик,Да
1417,М,54,97,Сварщик,Да
1418,М,51,80,Крановщик,Да
1419,М,62,97,Крановщик,Да
1420,Ж,23,58,Frontend-разработчик,Да
1421,Ж,23,58,Frontend-разработчик,Да
1422,М,24,90,,Да
1423,М,59,91,Сантехник,Да
1424,Ж,20,87,Backend-разработчик,Да
1425,Ж,20,87,Backend-разработчик,Да
1426,М,64,99,Тренер по фитнесу,Да
1427,М,64,99,Тренер по фитнесу,Да
1428,Ж,18,45,Таргетолог,Нет
1429,М,21,52,Тестировщик,Да
1430,М,45,77,Тренер по футболу,Да
1431,М,45,77,Тренер по футболу,Да
1432,М,45,77,Тренер по футболу,Да
1433,М,55,83,Токарь,Да
1434,Ж,59,80,Тренер по легкой атлетике,Да
1435,М,52,97,Сварщик,Да
1436,М,66,75,Маляр,Да
1437,Ж,69,91,Тренер по киберспорту,Да
1438,М,62,74,Токарь,Да
1439,М,25,90,IOS-разработчик,Да
1440,М,24,73,Тестировщик,Да
1441,Ж,18,52,Фотограф,Нет
1442,Ж,23,53,Копирайтер,Нет
1443,Ж,22,45,SMM-специалист,Нет
1444,М,30,62,Backend-разработчик,Да
1445,М,46,94,Тренер по киберспорту,Да
1446,М,58,82,Сантехник,Да
1447,М,78,93,Тренер по легкой атлетике,Да
1448,Ж,63,96,Тренер по футболу,Да
1449,М,64,77,Токарь,Да
1450,Ж,25,60,SMM-специалист,Нет
1451,М,67,97,Тренер по киберспорту,Да
1452,Ж,25,45,Таргетолог,Нет
1453,Ж,25,45,Таргетолог,Нет
1454,М,20,68,Frontend-разработчик,Да
1455,М,20,68,Frontend-разработчик,Да
1456,М,20,68,Frontend-разработчик,Да
1457,М,26,42,Backend-разработчик,Да
1458,М,54,98,Маляр,Да
1459,М,29,82,Backend-разработчик,Да
1460,Ж,56,84,Тренер по киберспорту,Да
1461,Ж,22,46,SMM-специалист,Нет
1462,Ж,22,46,SMM-специалист,Нет
1463,Ж,23,1721,Копирайтер,Нет
1464,Ж,66,91,Тренер по киберспорту,Да
1465,Ж,25,67,,Да
1466,Ж,25,67,,Да
1467,М,47,80,Тренер по киберспорту,Да
1468,М,47,80,Тренер по киберспорту,Да
1469,Ж,70,85,Тренер по волейболу,Да
1470,Ж,23,47,Копирайтер,Нет
1471,Ж,18,49,Таргетолог,Нет
1472,Ж,19,57,Таргетолог,Нет
1473,Ж,29,46,Frontend-разработчик,Да
1474,Ж,29,46,Frontend-разработчик,Да
1475,М,49,95,Токарь,Да
1476,М,30,70,Backend-разработчик,Да
1477,М,30,70,Backend-разработчик,Да
1478,М,30,70,Backend-разработчик,Да
1479,Ж,23,56,Копирайтер,Нет
1480,М,70,78,Тренер по волейболу,Да
1481,М,70,78,Тренер по волейболу,Да
1482,Ж,30,70,Backend-разработчик,Да
1483,Ж,75,83,Тренер по киберспорту,Да
1484,М,49,95,Тренер по киберспорту,Да
1485,М,49,95,Тренер по киберспорту,Да
1486,Ж,50,85,Тренер по фитнесу,Да
1487,М,56,94,Токарь,Да
1488,Ж,18,59,SMM-специалист,Нет
1489,Ж,25,53,Таргетолог,Нет
1490,Ж,18,48,Фотограф,Нет
1491,Ж,66,96,Тренер по легкой атлетике,Да
1492,М,60,96,Тренер по киберспорту,Да
1493,Ж,22,48,Блогер,Нет
1494,Ж,22,48,Блогер,Нет
1495,М,47,79,Маляр,Да
1496,Ж,18,41,SMM-специалист,Нет
1497,Ж,20,40,SMM-специалист,Нет
1498,М,25,79,Data scientist,Да
1499,М,48,70,Тренер по фитнесу,Да
1500,М,48,70,Тренер по фитнесу,Да
1501,М,51,100,Тренер по фитнесу,Да
1502,М,223,84,Тренер по волейболу,Да
1503,М,223,84,Тренер по волейболу,Да
1504,М,55,92,Тренер по легкой атлетике,Да
1505,М,55,92,Тренер по легкой атлетике,Да
1506,Ж,25,53,SMM-специалист,Нет
1507,Ж,20,41,Копирайтер,Нет
1508,Ж,80,85,Тренер по фитнесу,Да
1509,М,55,94,Маляр,Да
1510,М,76,89,Тренер по фитнесу,Да
1511,М,21,65,IOS-разработчик,Да
1512,Ж,51,80,Тренер по фитнесу,Да
1513,Ж,51,80,Тренер по фитнесу,Да
1514,Ж,51,80,Тренер по фитнесу,Да
1515,М,63,82,Сантехник,Да
1516,М,78,93,Сантехник,Да
1517,Ж,76,74,Тренер по фитнесу,Да
1518,Ж,76,74,Тренер по фитнесу,Да
1519,М,54,98,Крановщик,Да
1520,М,63,93,Крановщик,Да
1521,М,48,78,Маляр,Да
1522,М,48,78,Маляр,Да
1523,М,77,80,Токарь,Да
1524,М,52,70,Крановщик,Да
1525,Ж,21,60,Фотограф,Нет
1526,Ж,19,50,Копирайтер,Нет
1527,Ж,18,52,Фотограф,Нет
1528,М,21,45,,Да
1529,М,62,79,Маляр,Да
1530,Ж,20,46,Копирайтер,Нет
1531,М,48,73,Маляр,Да
1532,М,61,97,Тренер по фитнесу,Да
1533,М,61,97,Тренер по фитнесу,Да
1534,Ж,21,50,Блогер,Нет
1535,Ж,22,59,SMM-специалист,Нет
1536,Ж,74,94,Тренер по футболу,Да
1537,Ж,23,40,Копирайтер,Нет
1538,М,51,99,Тренер по фитнесу,Да
1539,М,51,99,Тренер по фитнесу,Да
1540,Ж,51,90,Тренер по фитнесу,Да
1541,М,62,95,Тренер по футболу,Да
1542,М,62,95,Тренер по футболу,Да
1543,Ж,60,95,Тренер по киберспорту,Да
1544,Ж,60,95,Тренер по киберспорту,Да
1545,М,70,79,Тренер по легкой атлетике,Да
1546,Ж,21,56,Таргетолог,Нет
1547,Ж,20,80,Тестировщик,Да
1548,Ж,23,1647,Блогер,Нет
1549,Ж,23,1647,Блогер,Нет
1550,Ж,18,55,Копирайтер,Нет
1551,М,55,96,Крановщик,Да
1552,Ж,60,91,Тренер по легкой атлетике,Да
1553,,78,80,Маляр,Да
1554,,78,80,Маляр,Да
1555,,61,72,Крановщик,Да
1556,М,80,85,Крановщик,Да
1557,Ж,239,73,Тренер по киберспорту,Да
1558,Ж,25,63,,Да
1559,М,22,56,Frontend-разработчик,Да
1560,Ж,22,73,Backend-разработчик,Да
1561,Ж,55,90,Тренер по легкой атлетике,Да
1562,Ж,55,90,Тренер по легкой атлетике,Да
1563,Ж,25,55,SMM-специалист,Нет
1564,Ж,24,54,Фотограф,Нет
1565,Ж,296,81,Тренер по волейболу,Да
1566,Ж,27,70,Frontend-разработчик,Да
1567,М,28,66,Frontend-разработчик,Да
1568,М,79,100,Тренер по легкой атлетике,Да
1569,Ж,19,53,Таргетолог,Нет
1570,Ж,19,45,Фотограф,Нет
1571,Ж,21,53,Блогер,Нет
1572,Ж,24,40,SMM-специалист,Нет
1573,М,29,86,IOS-разработчик,Да
1574,М,66,84,Тренер по легкой атлетике,Да
1575,Ж,25,54,Backend-разработчик,Да
1576,М,25,86,Frontend-разработчик,Да
1577,Ж,61,70,Тренер по футболу,Да
1578,Ж,61,70,Тренер по футболу,Да
1579,Ж,21,58,Фотограф,Нет
1580,Ж,51,100,Тренер по футболу,Да
1581,Ж,30,78,,Да
1582,М,25,58,,Да
1583,М,69,86,Сварщик,Да
1584,Ж,18,59,Копирайтер,Нет
1585,Ж,54,92,Тренер по футболу,Да
1586,Ж,53,74,Тренер по киберспорту,Да
1587,Ж,21,47,Таргетолог,Нет
1588,Ж,21,47,Таргетолог,Нет
1589,Ж,20,1679,Копирайтер,Нет
1590,Ж,20,1679,Копирайтер,Нет
1591,М,78,92,Тренер по киберспорту,Да
1592,М,78,92,Тренер по киберспорту,Да
1593,Ж,19,55,Копирайтер,Нет
1594,Ж,19,55,Копирайтер,Нет
1595,Ж,26,62,Backend-разработчик,Да
1596,М,77,95,Маляр,Да
1597,М,77,95,Маляр,Да
1598,М,77,95,Маляр,Да
1599,М,77,95,Маляр,Да
1600,М,67,72,Крановщик,Да
1601,Ж,18,49,SMM-специалист,Нет
1602,Ж,24,60,Блогер,Нет
1603,Ж,20,1697,Фотограф,Нет
1604,М,74,71,Тренер по волейболу,Да
1605,М,48,74,Сварщик,Да
1606,Ж,22,70,Frontend-разработчик,Да
1607,М,63,74,Сварщик,Да
1608,М,70,76,Тренер по футболу,Да
1609,М,61,76,Маляр,Да
1610,Ж,212,74,Тренер по фитнесу,Да
1611,М,54,72,Сварщик,Да
1612,М,25,44,Data scientist,Да
1613,М,66,83,Сварщик,Да
1614,Ж,19,43,Блогер,Нет
1615,Ж,283,77,Тренер по футболу,Да
1616,Ж,283,77,Тренер по футболу,Да
1617,Ж,283,77,Тренер по футболу,Да
1618,Ж,67,89,Тренер по волейболу,Да
1619,Ж,21,51,SMM-специалист,Нет
1620,Ж,22,58,Копирайтер,Нет
1621,Ж,23,40,Таргетолог,Нет
1622,Ж,23,40,Таргетолог,Нет
1623,Ж,23,40,Таргетолог,Нет
1624,Ж,23,40,Таргетолог,Нет
1625,Ж,23,40,Таргетолог,Нет
1626,Ж,23,40,Таргетолог,Нет
1627,Ж,23,40,Таргетолог,Нет
1628,Ж,23,40,Таргетолог,Нет
1629,Ж,27,59,,Да
1630,Ж,27,59,,Да
1631,М,48,93,Токарь,Да
1632,М,67,100,Сантехник,Да
1633,М,69,87,Тренер по легкой атлетике,Да
1634,М,69,87,Тренер по легкой атлетике,Да
1635,Ж,27,51,Frontend-разработчик,Да
1636,Ж,60,90,Тренер по волейболу,Да
1637,Ж,20,57,Копирайтер,Нет
1638,Ж,24,42,Фотограф,Нет
1639,Ж,24,40,Копирайтер,Нет
1640,М,60,84,Крановщик,Да
1641,М,26,63,Data scientist,Да
1642,М,26,63,Data scientist,Да
1643,Ж,56,76,Тренер по футболу,Да
1644,Ж,48,71,Тренер по киберспорту,Да
1645,Ж,25,55,Таргетолог,Нет
1646,М,59,88,Токарь,Да
1647,Ж,21,51,Блогер,Нет
1648,Ж,21,51,Блогер,Нет
1649,Ж,22,52,Копирайтер,Нет
1650,М,20,80,Data scientist,Да
1651,Ж,22,56,Фотограф,Нет
1652,Ж,78,72,Тренер по волейболу,Да
1653,Ж,78,72,Тренер по волейболу,Да
1654,М,53,80,Токарь,Да
1655,М,52,89,Тренер по фитнесу,Да
1656,М,80,88,Крановщик,Да
1657,М,51,100,Тренер по футболу,Да
1658,М,28,84,Data scientist,Да
1659,М,28,84,Data scientist,Да
1660,М,28,84,Data scientist,Да
1661,М,28,84,Data scientist,Да
1662,Ж,274,75,Тренер по киберспорту,Да
1663,Ж,22,80,Backend-разработчик,Да
1664,Ж,57,96,Тренер по киберспорту,Да
1665,М,75,82,Тренер по легкой атлетике,Да
1666,Ж,27,57,Backend-разработчик,Да
1667,Ж,27,57,Backend-разработчик,Да
1668,Ж,27,57,Backend-разработчик,Да
1669,Ж,20,43,Backend-разработчик,Да
1670,М,66,83,Тренер по киберспорту,Да
1671,М,59,77,Тренер по легкой атлетике,Да
1672,Ж,19,49,Таргетолог,Нет
1673,М,70,70,Сварщик,Да
1674,М,30,88,Тестировщик,Да
1675,М,30,88,Тестировщик,Да
1676,М,20,51,IOS-разработчик,Да
1677,Ж,19,1093,Копирайтер,Нет
1678,Ж,30,75,Тестировщик,Да
1679,М,30,83,Frontend-разработчик,Да
1680,М,30,83,Frontend-разработчик,Да
1681,Ж,21,57,SMM-специалист,Нет
1682,М,23,86,Data scientist,Да
1683,М,21,63,Frontend-разработчик,Да
1684,Ж,285,88,Тренер по волейболу,Да
1685,М,64,97,Тренер по киберспорту,Да
1686,Ж,274,91,Тренер по легкой атлетике,Да
1687,М,207,73,Тренер по футболу,Да
1688,М,25,52,IOS-разработчик,Да
1689,,78,92,Токарь,Да
1690,,78,92,Токарь,Да
1691,М,80,84,Токарь,Да
1692,М,80,84,Токарь,Да
1693,М,80,84,Токарь,Да
1694,Ж,23,53,Фотограф,Нет
1695,Ж,19,54,Таргетолог,Нет
1696,М,20,46,,Да
1697,М,54,95,Маляр,Да
1698,Ж,18,1269,Блогер,Нет
1699,Ж,19,54,Фотограф,Нет
1700,Ж,19,54,Фотограф,Нет
1701,Ж,19,54,Фотограф,Нет
1702,Ж,19,54,Фотограф,Нет
1703,Ж,20,51,Блогер,Нет
1704,Ж,20,51,Блогер,Нет
1705,Ж,30,60,Тестировщик,Да
1706,Ж,19,45,Таргетолог,Нет
1707,М,66,71,Тренер по волейболу,Да
1708,М,66,71,Тренер по волейболу,Да
1709,М,74,84,Тренер по фитнесу,Да
1710,М,74,84,Тренер по фитнесу,Да
1711,Ж,25,47,SMM-специалист,Нет
1712,Ж,47,91,Тренер по волейболу,Да
1713,М,73,77,Тренер по волейболу,Да
1714,М,53,95,Крановщик,Да
1715,М,53,95,Крановщик,Да
1716,М,71,75,Сварщик,Да
1717,М,70,94,Токарь,Да
1718,Ж,20,85,IOS-разработчик,Да
1719,М,72,71,Тренер по фитнесу,Да
1720,,51,95,Сантехник,Да
1721,Ж,27,86,Data scientist,Да
1722,М,20,56,Data scientist,Да
1723,М,20,56,Data scientist,Да
1724,М,20,56,Data scientist,Да
1725,Ж,23,42,Копирайтер,Нет
1726,М,52,82,Крановщик,Да
1727,М,53,79,Сантехник,Да
1728,М,26,86,Frontend-разработчик,Да
1729,Ж,25,46,Тестировщик,Да
1730,М,63,80,Маляр,Да
1731,М,66,86,Маляр,Да
1732,М,66,86,Маляр,Да
1733,Ж,57,80,Тренер по киберспорту,Да
1734,Ж,57,80,Тренер по киберспорту,Да
1735,Ж,28,74,Data scientist,Да
1736,Ж,28,74,Data scientist,Да
1737,М,73,77,Крановщик,Да
1738,Ж,25,53,Блогер,Нет
1739,Ж,25,53,Блогер,Нет
1740,Ж,25,53,Блогер,Нет
1741,М,65,86,Тренер по футболу,Да
1742,М,65,86,Тренер по футболу,Да
1743,М,67,96,Токарь,Да
1744,М,25,40,Тестировщик,Да
1745,М,25,40,Тестировщик,Да
1746,Ж,25,44,SMM-специалист,Нет
1747,Ж,247,80,Тренер по футболу,Да
1748,Ж,247,80,Тренер по футболу,Да
1749,Ж,247,80,Тренер по футболу,Да
1750,Ж,23,49,Backend-разработчик,Да
1751,Ж,23,49,Backend-разработчик,Да
1752,Ж,18,54,Фотограф,Нет
1753,Ж,21,49,Блогер,Нет
1754,Ж,25,59,Копирайтер,Нет
1755,Ж,24,52,SMM-специалист,Нет
1756,Ж,22,44,SMM-специалист,Нет
1757,Ж,22,52,Таргетолог,Нет
1758,М,53,72,Тренер по фитнесу,Да
1759,Ж,25,84,Data scientist,Да
1760,,67,76,Сварщик,Да
1761,,67,76,Сварщик,Да
1762,М,80,79,Тренер по киберспорту,Да
1763,Ж,19,46,Таргетолог,Нет
1764,М,25,45,Data scientist,Да
1765,М,203,70,Тренер по фитнесу,Да
1766,Ж,21,42,SMM-специалист,Нет
1767,М,29,65,Backend-разработчик,Да
1768,М,49,71,Сварщик,Да
1769,М,57,93,Маляр,Да
1770,М,67,92,Крановщик,Да
1771,Ж,47,73,Тренер по футболу,Да
1772,Ж,21,58,IOS-разработчик,Да
1773,Ж,21,58,IOS-разработчик,Да
1774,М,78,72,Сварщик,Да
1775,М,66,77,Маляр,Да
1776,Ж,23,51,Таргетолог,Нет
1777,Ж,22,60,Блогер,Нет
1778,Ж,22,60,Блогер,Нет
1779,Ж,66,90,Тренер по футболу,Да
1780,Ж,58,97,Тренер по футболу,Да
1781,Ж,58,97,Тренер по футболу,Да
1782,М,26,75,Frontend-разработчик,Да
1783,М,26,75,Frontend-разработчик,Да
1784,М,26,75,Frontend-разработчик,Да
1785,Ж,23,47,Фотограф,Нет
1786,Ж,23,47,Фотограф,Нет
1787,Ж,25,47,SMM-специалист,Нет
1788,Ж,24,1192,SMM-специалист,Нет
1789,Ж,19,1780,SMM-специалист,Нет
1790,М,23,72,Frontend-разработчик,Да
1791,Ж,21,44,Копирайтер,Нет
1792,М,23,45,IOS-разработчик,Да
1793,Ж,29,86,IOS-разработчик,Да
1794,Ж,22,70,Тестировщик,Да
1795,М,26,81,Frontend-разработчик,Да
1796,М,25,54,Тестировщик,Да
1797,М,68,79,Тренер по футболу,Да
1798,М,61,81,Маляр,Да
1799,М,61,81,Маляр,Да
1800,М,59,94,Тренер по легкой атлетике,Да
1801,Ж,23,47,Фотограф,Нет
1802,М,56,93,Токарь,Да
1803,М,56,93,Токарь,Да
1804,Ж,23,44,Фотограф,Нет
1805,М,21,64,,Да
1806,М,57,83,Сварщик,Да
1807,М,282,72,Тренер по футболу,Да
1808,М,282,72,Тренер по футболу,Да
1809,Ж,28,77,,Да
1810,Ж,28,77,,Да
1811,Ж,28,77,,Да
1812,Ж,28,77,,Да
1813,Ж,23,44,Фотограф,Нет
1814,М,48,78,Маляр,Да
1815,,73,75,Сварщик,Да
1816,М,59,91,Крановщик,Да
1817,Ж,24,52,Таргетолог,Нет
1818,М,74,89,Тренер по волейболу,Да
1819,М,51,83,Крановщик,Да
1820,Ж,25,51,SMM-специалист,Нет
1821,Ж,19,40,Таргетолог,Нет
1822,М,26,73,Data scientist,Да
1823,Ж,22,61,Тестировщик,Да
1824,М,63,84,Маляр,Да
1825,М,29,46,IOS-разработчик,Да
1826,Ж,21,55,Фотограф,Нет
1827,Ж,21,55,Фотограф,Нет
1828,Ж,23,45,Блогер,Нет
1829,М,246,80,Тренер по легкой атлетике,Да
1830,М,246,80,Тренер по легкой атлетике,Да
1831,Ж,29,76,Backend-разработчик,Да
1832,Ж,29,76,Backend-разработчик,Да
1833,Ж,29,76,Backend-разработчик,Да
1834,М,74,78,Тренер по легкой атлетике,Да
1835,М,74,78,Тренер по легкой атлетике,Да
1836,М,74,91,Крановщик,Да
1837,М,58,84,Токарь,Да
1838,М,50,100,Тренер по легкой атлетике,Да
1839,Ж,19,56,Таргетолог,Нет
1840,Ж,19,56,Таргетолог,Нет
1841,М,30,68,Data scientist,Да
1842,Ж,18,47,Копирайтер,Нет
1843,М,54,98,Тренер по волейболу,Да
1844,Ж,66,84,Тренер по легкой атлетике,Да
1845,Ж,20,44,Фотограф,Нет
1846,М,24,55,Data scientist,Да
1847,Ж,18,57,Таргетолог,Нет
1848,М,69,95,Крановщик,Да
1849,М,45,70,Тренер по футболу,Да
1850,Ж,18,52,Блогер,Нет
1851,Ж,25,46,Data scientist,Да
1852,М,20,86,Frontend-разработчик,Да
1853,Ж,18,59,Блогер,Нет
1854,Ж,27,40,Data scientist,Да
1855,Ж,25,47,,Да
1856,Ж,19,44,Таргетолог,Нет
1857,,76,89,Крановщик,Да
1858,М,23,60,Backend-разработчик,Да
1859,М,26,49,IOS-разработчик,Да
1860,Ж,45,93,Тренер по киберспорту,Да
